1	Planet Earth II	David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.	1	9.6	2016	6h	3	1	3	http://www.imdb.com/title/tt5491994/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_1	42150	{"votes_per_ratings": {"8": 2163, "3": 59, "9": 6953, "1": 2184, "7": 573, "2": 89, "10": 29740, "5": 123, "6": 198, "4": 68}, "males": {"aged_18_29": {"total_votes": 14364, "rating": 9.7}, "aged_under_18": {"total_votes": 289, "rating": 9.2}, "aged_over_45": {"total_votes": 1400, "rating": 9.3}, "aged_30_44": {"total_votes": 8223, "rating": 9.5}, "all_votes": {"total_votes": 26997, "rating": 9.6}}, "rating_page_link": "http://www.imdb.com/title/tt5491994/ratings?ref_=tt_ov_rt", "total_votes": 42150, "all_genders": {"aged_18_29": {"total_votes": 16349, "rating": 9.7}, "aged_under_18": {"total_votes": 315, "rating": 9.2}, "aged_over_45": {"total_votes": 1647, "rating": 9.4}, "aged_30_44": {"total_votes": 9193, "rating": 9.6}, "all_votes": {"total_votes": 42150, "rating": 9.6}}, "females": {"aged_18_29": {"total_votes": 1807, "rating": 9.7}, "aged_under_18": {"total_votes": 24, "rating": 8.8}, "aged_over_45": {"total_votes": 222, "rating": 9.5}, "aged_30_44": {"total_votes": 868, "rating": 9.6}, "all_votes": {"total_votes": 3281, "rating": 9.7}}}	{English}	2017/12/20	2017/12/20
2	Planet Earth	Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.	1	9.4	2006	8h 53min	3	1	3	http://www.imdb.com/title/tt0795176/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_3	126842	{"votes_per_ratings": {"8": 8531, "3": 325, "9": 24184, "1": 12075, "7": 2409, "2": 414, "10": 77017, "5": 634, "6": 956, "4": 297}, "males": {"aged_18_29": {"total_votes": 42745, "rating": 9.5}, "aged_under_18": {"total_votes": 288, "rating": 9.1}, "aged_over_45": {"total_votes": 5650, "rating": 9.3}, "aged_30_44": {"total_votes": 35326, "rating": 9.5}, "all_votes": {"total_votes": 87969, "rating": 9.5}}, "rating_page_link": "http://www.imdb.com/title/tt0795176/ratings?ref_=tt_ov_rt", "total_votes": 126842, "all_genders": {"aged_18_29": {"total_votes": 49488, "rating": 9.5}, "aged_under_18": {"total_votes": 324, "rating": 9.0}, "aged_over_45": {"total_votes": 6765, "rating": 9.3}, "aged_30_44": {"total_votes": 40190, "rating": 9.5}, "all_votes": {"total_votes": 126842, "rating": 9.4}}, "females": {"aged_18_29": {"total_votes": 6338, "rating": 9.5}, "aged_under_18": {"total_votes": 34, "rating": 8.8}, "aged_over_45": {"total_votes": 1012, "rating": 9.4}, "aged_30_44": {"total_votes": 4463, "rating": 9.6}, "all_votes": {"total_votes": 12414, "rating": 9.5}}}	{English}	2017/12/20	2017/12/20
3	Breaking Bad	A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.	5	9.5	2008–2013	49min	6	62	1	http://www.imdb.com/title/tt0903747/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_5	1044059	{"votes_per_ratings": {"8": 72996, "3": 2481, "9": 196888, "1": 18947, "7": 27236, "2": 2263, "10": 703273, "5": 6131, "6": 10692, "4": 3152}, "males": {"aged_18_29": {"total_votes": 325821, "rating": 9.6}, "aged_under_18": {"total_votes": 3256, "rating": 9.7}, "aged_over_45": {"total_votes": 38840, "rating": 9.3}, "aged_30_44": {"total_votes": 222783, "rating": 9.4}, "all_votes": {"total_votes": 658270, "rating": 9.5}}, "rating_page_link": "http://www.imdb.com/title/tt0903747/ratings?ref_=tt_ov_rt", "total_votes": 1044059, "all_genders": {"aged_18_29": {"total_votes": 390671, "rating": 9.5}, "aged_under_18": {"total_votes": 3781, "rating": 9.6}, "aged_over_45": {"total_votes": 49477, "rating": 9.3}, "aged_30_44": {"total_votes": 267234, "rating": 9.4}, "all_votes": {"total_votes": 1044059, "rating": 9.5}}, "females": {"aged_18_29": {"total_votes": 61370, "rating": 9.3}, "aged_under_18": {"total_votes": 506, "rating": 9.3}, "aged_over_45": {"total_votes": 9704, "rating": 9.2}, "aged_30_44": {"total_votes": 40645, "rating": 9.2}, "all_votes": {"total_votes": 124208, "rating": 9.2}}}	{English,Spanish}	2017/12/20	2017/12/20
4	Rick and Morty	An animated series that follows the exploits of a super scientist and his not-so-bright grandson.	4	9.3	2013–	23min	5	32	1	http://www.imdb.com/title/tt2861424/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_7	182713	{"votes_per_ratings": {"8": 15207, "3": 435, "9": 40879, "1": 3936, "7": 4744, "2": 455, "10": 114277, "5": 840, "6": 1511, "4": 429}, "males": {"aged_18_29": {"total_votes": 66681, "rating": 9.4}, "aged_under_18": {"total_votes": 1855, "rating": 9.4}, "aged_over_45": {"total_votes": 3558, "rating": 8.8}, "aged_30_44": {"total_votes": 28899, "rating": 9.2}, "all_votes": {"total_votes": 113273, "rating": 9.4}}, "rating_page_link": "http://www.imdb.com/title/tt2861424/ratings?ref_=tt_ov_rt", "total_votes": 182713, "all_genders": {"aged_18_29": {"total_votes": 77690, "rating": 9.4}, "aged_under_18": {"total_votes": 2123, "rating": 9.4}, "aged_over_45": {"total_votes": 4166, "rating": 8.8}, "aged_30_44": {"total_votes": 32454, "rating": 9.2}, "all_votes": {"total_votes": 182713, "rating": 9.3}}, "females": {"aged_18_29": {"total_votes": 10120, "rating": 9.2}, "aged_under_18": {"total_votes": 255, "rating": 9.3}, "aged_over_45": {"total_votes": 496, "rating": 8.2}, "aged_30_44": {"total_votes": 3093, "rating": 8.9}, "all_votes": {"total_votes": 15590, "rating": 9.2}}}	{English}	2017/12/20	2017/12/20
5	Cosmos	Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.	1	9.3	1980	1h	4	1	3	http://www.imdb.com/title/tt0081846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_9	26686	{"votes_per_ratings": {"8": 1784, "3": 96, "9": 4396, "1": 2322, "7": 698, "2": 113, "10": 16710, "5": 189, "6": 275, "4": 103}, "males": {"aged_18_29": {"total_votes": 6808, "rating": 9.2}, "aged_under_18": {"total_votes": 55, "rating": 8.0}, "aged_over_45": {"total_votes": 2858, "rating": 9.2}, "aged_30_44": {"total_votes": 7789, "rating": 9.4}, "all_votes": {"total_votes": 18317, "rating": 9.3}}, "rating_page_link": "http://www.imdb.com/title/tt0081846/ratings?ref_=tt_ov_rt", "total_votes": 26686, "all_genders": {"aged_18_29": {"total_votes": 7584, "rating": 9.2}, "aged_under_18": {"total_votes": 63, "rating": 8.0}, "aged_over_45": {"total_votes": 3309, "rating": 9.2}, "aged_30_44": {"total_votes": 8614, "rating": 9.4}, "all_votes": {"total_votes": 26686, "rating": 9.3}}, "females": {"aged_18_29": {"total_votes": 705, "rating": 9.4}, "aged_under_18": {"total_votes": 7, "rating": 8.7}, "aged_over_45": {"total_votes": 395, "rating": 9.1}, "aged_30_44": {"total_votes": 727, "rating": 9.3}, "all_votes": {"total_votes": 1949, "rating": 9.3}}}	{English}	2017/12/20	2017/12/20
6	The Sopranos	New Jersey mob boss, Tony Soprano, deals with personal and professional issues in his home and business life, which affects his mental state and ends up seeking professional psychiatric counseling.	6	9.2	1999–2007	55min	6	86	1	http://www.imdb.com/title/tt0141842/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_11	219750	{"votes_per_ratings": {"8": 22845, "3": 911, "9": 51579, "1": 8853, "7": 8580, "2": 910, "10": 119972, "5": 1747, "6": 3332, "4": 1021}, "males": {"aged_18_29": {"total_votes": 54754, "rating": 9.3}, "aged_under_18": {"total_votes": 173, "rating": 9.1}, "aged_over_45": {"total_votes": 15796, "rating": 9.0}, "aged_30_44": {"total_votes": 75359, "rating": 9.2}, "all_votes": {"total_votes": 154330, "rating": 9.2}}, "rating_page_link": "http://www.imdb.com/title/tt0141842/ratings?ref_=tt_ov_rt", "total_votes": 219750, "all_genders": {"aged_18_29": {"total_votes": 61746, "rating": 9.3}, "aged_under_18": {"total_votes": 190, "rating": 9.1}, "aged_over_45": {"total_votes": 19594, "rating": 9.0}, "aged_30_44": {"total_votes": 86401, "rating": 9.2}, "all_votes": {"total_votes": 219750, "rating": 9.2}}, "females": {"aged_18_29": {"total_votes": 6477, "rating": 8.9}, "aged_under_18": {"total_votes": 16, "rating": 8.5}, "aged_over_45": {"total_votes": 3484, "rating": 8.9}, "aged_30_44": {"total_votes": 10095, "rating": 8.8}, "all_votes": {"total_votes": 21303, "rating": 8.8}}}	{English,Italian,Russian}	2017/12/20	2017/12/20
7	Sherlock	A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.	4	9.2	2010–	1h 28min	5	15	1	http://www.imdb.com/title/tt1475582/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_13	616041	{"votes_per_ratings": {"8": 62896, "3": 1404, "9": 156983, "1": 8963, "7": 22775, "2": 1232, "10": 347562, "5": 4052, "6": 8140, "4": 2034}, "males": {"aged_18_29": {"total_votes": 178784, "rating": 9.3}, "aged_under_18": {"total_votes": 2143, "rating": 9.4}, "aged_over_45": {"total_votes": 21350, "rating": 8.8}, "aged_30_44": {"total_votes": 104581, "rating": 9.0}, "all_votes": {"total_votes": 336911, "rating": 9.1}}, "rating_page_link": "http://www.imdb.com/title/tt1475582/ratings?ref_=tt_ov_rt", "total_votes": 616041, "all_genders": {"aged_18_29": {"total_votes": 249637, "rating": 9.3}, "aged_under_18": {"total_votes": 3221, "rating": 9.4}, "aged_over_45": {"total_votes": 30850, "rating": 8.9}, "aged_30_44": {"total_votes": 141631, "rating": 9.0}, "all_votes": {"total_votes": 616041, "rating": 9.2}}, "females": {"aged_18_29": {"total_votes": 68356, "rating": 9.4}, "aged_under_18": {"total_votes": 1046, "rating": 9.6}, "aged_over_45": {"total_votes": 8926, "rating": 9.2}, "aged_30_44": {"total_votes": 34934, "rating": 9.2}, "all_votes": {"total_votes": 124046, "rating": 9.3}}}	{English}	2017/12/20	2017/12/20
8	Band of Brothers	The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.	1	9.5	TV Mini-Series (2001	9h 54min	6	10	1	http://www.imdb.com/title/tt0185906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_2	275736	{"votes_per_ratings": {"9": 52181, "7": 5732, "5": 1091, "6": 1975, "10": 189252, "8": 19273, "2": 444, "4": 520, "1": 4844, "3": 424}, "females": {"aged_over_45": {"rating": 9.4, "total_votes": 2528}, "aged_under_18": {"rating": 9.3, "total_votes": 37}, "all_votes": {"rating": 9.4, "total_votes": 19489}, "aged_18_29": {"rating": 9.5, "total_votes": 7534}, "aged_30_44": {"rating": 9.4, "total_votes": 8216}}, "all_genders": {"aged_over_45": {"rating": 9.4, "total_votes": 22284}, "aged_under_18": {"rating": 9.2, "total_votes": 516}, "all_votes": {"rating": 9.5, "total_votes": 275736}, "aged_18_29": {"rating": 9.6, "total_votes": 84917}, "aged_30_44": {"rating": 9.5, "total_votes": 99490}}, "rating_page_link": "http://www.imdb.com/title/tt0185906/ratings?ref_=tt_ov_rt", "total_votes": 275736, "males": {"aged_over_45": {"rating": 9.4, "total_votes": 19405}, "aged_under_18": {"rating": 9.2, "total_votes": 475}, "all_votes": {"rating": 9.5, "total_votes": 198015}, "aged_18_29": {"rating": 9.6, "total_votes": 76758}, "aged_30_44": {"rating": 9.5, "total_votes": 90266}}}	{English,Dutch,French,German,Lithuanian}	2017/12/20	2017/12/20
9	The Wire	Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.	5	9.3	2002–2008	59min	6	60	1	http://www.imdb.com/title/tt0306414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_6	218080	{"votes_per_ratings": {"9": 40654, "7": 6352, "5": 1729, "6": 2832, "10": 135375, "8": 16611, "2": 883, "4": 956, "1": 11808, "3": 880}, "females": {"aged_over_45": {"rating": 9.0, "total_votes": 3061}, "aged_under_18": {"rating": 7.7, "total_votes": 14}, "all_votes": {"rating": 9.0, "total_votes": 18944}, "aged_18_29": {"rating": 8.9, "total_votes": 5581}, "aged_30_44": {"rating": 9.0, "total_votes": 9288}}, "all_genders": {"aged_over_45": {"rating": 9.1, "total_votes": 17634}, "aged_under_18": {"rating": 8.8, "total_votes": 157}, "all_votes": {"rating": 9.3, "total_votes": 218080}, "aged_18_29": {"rating": 9.4, "total_votes": 61786}, "aged_30_44": {"rating": 9.4, "total_votes": 87772}}, "rating_page_link": "http://www.imdb.com/title/tt0306414/ratings?ref_=tt_ov_rt", "total_votes": 218080, "males": {"aged_over_45": {"rating": 9.2, "total_votes": 14251}, "aged_under_18": {"rating": 8.8, "total_votes": 143}, "all_votes": {"rating": 9.4, "total_votes": 155260}, "aged_18_29": {"rating": 9.4, "total_votes": 55696}, "aged_30_44": {"rating": 9.4, "total_votes": 77433}}}	{English,Greek,Mandarin,Spanish}	2017/12/20	2017/12/20
10	The World at War	A series of documentaries about World War II.	1	9.2	TV Series (1973–1976	52min	4	1	3	http://www.imdb.com/title/tt0071075/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_10	15023	{"votes_per_ratings": {"9": 3481, "7": 478, "5": 98, "6": 192, "10": 8188, "8": 1310, "2": 69, "4": 48, "1": 1119, "3": 40}, "females": {"aged_over_45": {"rating": 9.0, "total_votes": 231}, "aged_under_18": {"rating": 6.5, "total_votes": 2}, "all_votes": {"rating": 8.7, "total_votes": 714}, "aged_18_29": {"rating": 8.7, "total_votes": 201}, "aged_30_44": {"rating": 8.6, "total_votes": 254}}, "all_genders": {"aged_over_45": {"rating": 9.3, "total_votes": 3072}, "aged_under_18": {"rating": 6.7, "total_votes": 26}, "all_votes": {"rating": 9.2, "total_votes": 15023}, "aged_18_29": {"rating": 9.2, "total_votes": 3338}, "aged_30_44": {"rating": 9.3, "total_votes": 4806}}, "rating_page_link": "http://www.imdb.com/title/tt0071075/ratings?ref_=tt_ov_rt", "total_votes": 15023, "males": {"aged_over_45": {"rating": 9.3, "total_votes": 2793}, "aged_under_18": {"rating": 6.6, "total_votes": 23}, "all_votes": {"rating": 9.3, "total_votes": 10955}, "aged_18_29": {"rating": 9.2, "total_votes": 3114}, "aged_30_44": {"rating": 9.3, "total_votes": 4514}}}	{English,German,French,Japanese}	2017/12/20	2017/12/20
